K74,070106682,7,Day,T-203TH,123000-5440C101,2019-12-13 14:09:46,4,BRC00793,BRC00796,FA-6,20191213070106682,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106683,7,Day,T-203TH,123000-5440C101,2019-12-13 14:15:35,4,BRC00797,BRC00800,FA-6,20191213070106683,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106684,7,Day,T-203TH,123000-5440C101,2019-12-13 14:21:59,4,BRC00801,BRC00804,FA-6,20191213070106684,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K72,070106685,7,Day,T-201TH,123000-5420C101,2019-12-13 14:27:36,4,BRC03353,BRC03356,FA-6,20191213070106685,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106686,7,Day,T-201TH,123000-5420C101,2019-12-13 14:33:32,4,BRC03357,BRC03360,FA-6,20191213070106686,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106687,7,Day,T-201TH,123000-5420C101,2019-12-13 14:38:40,4,BRC03361,BRC03364,FA-6,20191213070106687,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106688,7,Day,T-201TH,123000-5420C101,2019-12-13 14:44:04,4,BRC03365,BRC03368,FA-6,20191213070106688,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106689,7,Day,T-201TH,123000-5420C101,2019-12-13 14:49:28,4,BRC03369,BRC03372,FA-6,20191213070106689,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106690,7,Day,T-201TH,123000-5420C101,2019-12-13 14:56:17,4,BRC03373,BRC03376,FA-6,20191213070106690,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106691,7,Day,T-201TH,123000-5420C101,2019-12-13 15:02:18,4,BRC03377,BRC03380,FA-6,20191213070106691,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106692,7,Day,T-201TH,123000-5420C101,2019-12-13 15:08:31,4,BRC03381,BRC03384,FA-6,20191213070106692,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106693,7,Day,T-201TH,123000-5420C101,2019-12-13 15:14:46,4,BRC03385,BRC03388,FA-6,20191213070106693,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106694,7,Day,T-201TH,123000-5420C101,2019-12-13 15:20:51,4,BRC03389,BRC03392,FA-6,20191213070106694,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106695,7,Day,T-201TH,123000-5420C101,2019-12-13 15:25:21,4,BRC03393,BRC03396,FA-6,20191213070106695,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106696,7,Day,T-201TH,123000-5420C101,2019-12-13 15:30:28,4,BRC03397,BRC03400,FA-6,20191213070106696,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106697,7,Day,T-201TH,123000-5420C101,2019-12-13 15:46:31,4,BRC03401,BRC03404,FA-6,20191213070106697,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106698,7,Day,T-201TH,123000-5420C101,2019-12-13 15:53:48,4,BRC03405,BRC03408,FA-6,20191213070106698,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106699,7,Day,T-201TH,123000-5420C101,2019-12-13 16:01:36,4,BRC03409,BRC03412,FA-6,20191213070106699,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106700,7,Day,T-201TH,123000-5420C101,2019-12-13 16:06:42,4,BRC03413,BRC03416,FA-6,20191213070106700,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106701,7,Day,T-201TH,123000-5420C101,2019-12-13 16:11:53,4,BRC03417,BRC03420,FA-6,20191213070106701,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106702,7,Day,T-201TH,123000-5420C101,2019-12-13 16:16:47,4,BRC03421,BRC03424,FA-6,20191213070106702,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106703,7,Day,T-201TH,123000-5420C101,2019-12-13 16:23:02,4,BRC03425,BRC03428,FA-6,20191213070106703,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106704,7,Day,T-201TH,123000-5420C101,2019-12-13 16:28:58,4,BRC03429,BRC03432,FA-6,20191213070106704,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
